Arquivo,Título,Categoria,Biblioteca,Tamanho,Caminho
"10004-document-information-extractionsd.svg","10004-document-information-extractionsd","ai","ai","M","ai/10004-document-information-extractionsd.svg"
"10010-personalized-recommendationsd.svg","10010-personalized-recommendationsd","ai","ai","M","ai/10010-personalized-recommendationsd.svg"
"20054-data-attribute-recommendationsd.svg","20054-data-attribute-recommendationsd","ai","ai","M","ai/20054-data-attribute-recommendationsd.svg"
"20059-sap-ai-launchpadsd.svg","20059-sap-ai-launchpadsd","ai","ai","M","ai/20059-sap-ai-launchpadsd.svg"
"20095-sap-translation-hubsd.svg","20095-sap-translation-hubsd","ai","ai","M","ai/20095-sap-translation-hubsd.svg"
"20099-service-ticket-intelligencesd.svg","20099-service-ticket-intelligencesd","ai","ai","M","ai/20099-service-ticket-intelligencesd.svg"
"31052-business-entity-recognitionsd.svg","31052-business-entity-recognitionsd","ai","ai","M","ai/31052-business-entity-recognitionsd.svg"
"31103-invoice-object-recommendationsd.svg","31103-invoice-object-recommendationsd","ai","ai","M","ai/31103-invoice-object-recommendationsd.svg"
"31115-sap-digital-assistantsd.svg","31115-sap-digital-assistantsd","ai","ai","M","ai/31115-sap-digital-assistantsd.svg"
"32124-sap-document-grounding.svg","32124-sap-document-grounding","ai","ai","S","ai/32124-sap-document-grounding.svg"
"32132-sap-document-grounding.svg","32132-sap-document-grounding","ai","ai","M","ai/32132-sap-document-grounding.svg"
"48148-sap-document-grounding.svg","48148-sap-document-grounding","ai","ai","L","ai/48148-sap-document-grounding.svg"
"10002-cloud-integration-automationsd.svg","10002-cloud-integration-automationsd","all-icons","all-icons-01","M","all-icons-01/10002-cloud-integration-automationsd.svg"
"10004-document-information-extractionsd.svg","10004-document-information-extractionsd","all-icons","all-icons-01","L","all-icons-01/10004-document-information-extractionsd.svg"
"10007-intelligent-situation-automationsd.svg","10007-intelligent-situation-automationsd","all-icons","all-icons-01","M","all-icons-01/10007-intelligent-situation-automationsd.svg"
"10009-object-store-on-sap-btpsd.svg","10009-object-store-on-sap-btpsd","all-icons","all-icons-01","M","all-icons-01/10009-object-store-on-sap-btpsd.svg"
"10010-personalized-recommendationsd.svg","10010-personalized-recommendationsd","all-icons","all-icons-01","L","all-icons-01/10010-personalized-recommendationsd.svg"
"10013-sap-analytics-cloud-embedded-editionsd.svg","10013-sap-analytics-cloud-embedded-editionsd","all-icons","all-icons-01","M","all-icons-01/10013-sap-analytics-cloud-embedded-editionsd.svg"
"10014-sap-audit-log-servicesd.svg","10014-sap-audit-log-servicesd","all-icons","all-icons-01","M","all-icons-01/10014-sap-audit-log-servicesd.svg"
"10017-sap-btpcloud-foundry-runtimesd.svg","10017-sap-btpcloud-foundry-runtimesd","all-icons","all-icons-01","M","all-icons-01/10017-sap-btpcloud-foundry-runtimesd.svg"
